shared name	Group
Trachymyrmex septentrionalis	Formiga
Mycetomoellerius turrifex	Formiga
Mycetomoellerius urichii	Formiga
Acromyrmex sp.	Formiga
Acromyrmex echinatior	Formiga
Apterostigma sp.	Formiga
Atta cephalotes	Formiga
Atta laevigata	Formiga
Mycocepurus goeldii	Formiga
Ant	Formiga
Leucocoprinus gongylophorus	Fungo cultivado
Leucocoprinus sp.	Fungo cultivado
Myrmecopterula nudihortorum	Fungo cultivado
Myrmecopterula velohortorum	Fungo cultivado
Leucoagaricus sp. WM170124-07	Fungo cultivado
Escovopsis weberi	Fungo antagonista
Escovopsioides nivea	Fungo antagonista
Luteomyces trichodermoides	Fungo antagonista
Pseudonocardia sp.	Bactéria
Pseudonocardia echinatior	Bactéria
Pseudonocardia octospinosus	Bactéria
Streptomyces sp.	Bactéria
Burkholderia sp.	Bactéria
Klebsiella sp.	Bactéria
Pantoea sp.	Bactéria
Enterobacter sp.	Bactéria
Bacillus sp.	Bactéria
Pseudomonas sp.	Bactéria
Apocephalus attophilus	Mosca parasitoide
Apocephalus vicosae	Mosca parasitoide
Myrmosicarius grandicornis	Mosca parasitoide
Eibesfeldtphora erthali	Mosca parasitoide
Plant	Planta
