sample_id	interaction	parasite	count	per_100_ants
2018-02-27|PAL|1|trail|worker|r1	parasitism	A_attophilus	7	1.609
2018-02-27|PAL|1|trail|worker|r1	parasitism	N_erthali	4	0.92
2018-02-27|PAL|1|trail|worker|r1	parasitism	M_grandicornis	1	0.23
2018-02-27|PAL|2|trail|worker|r1	parasitism	A_attophilus	24	13.873
2018-02-27|PAL|2|trail|worker|r1	parasitism	N_erthali	8	4.624
2018-02-27|PAL|2|mound|worker|r1	parasitism	N_erthali	1	0.332
2018-02-27|PAL|3|trail|worker|r1	parasitism	A_attophilus	17	9.884
2018-02-27|PAL|3|trail|worker|r1	parasitism	N_erthali	10	5.814
2018-02-27|PAL|3|mound|worker|r1	parasitism	M_grandicornis	1	1.19
2018-02-27|PAL|4|trail|worker|r1	parasitism	A_attophilus	1	0.515
2018-02-27|PAL|4|mound|worker|r1	parasitism	N_erthali	1	0.787
2018-03-07|PAL|1|trail|worker|r1	parasitism	A_attophilus	6	4.444
2018-03-07|PAL|1|trail|worker|r1	parasitism	N_erthali	3	2.222
2018-03-07|PAL|2|trail|worker|r1	parasitism	A_attophilus	3	2.143
2018-03-07|PAL|2|trail|worker|r1	parasitism	A_vicosae	1	0.714
2018-03-07|PAL|2|trail|worker|r1	parasitism	N_erthali	7	5
2018-03-07|PAL|2|mound|worker|r1	parasitism	N_erthali	2	0.766
2018-03-07|PAL|3|trail|worker|r1	parasitism	A_attophilus	27	11.066
2018-03-07|PAL|3|mound|worker|r1	parasitism	N_erthali	1	0.297
2018-03-07|PAL|4|trail|worker|r1	parasitism	A_attophilus	5	10.204
2018-03-07|PAL|4|trail|worker|r1	parasitism	N_erthali	3	6.122
2018-03-19|PAL|1|trail|worker|r1	parasitism	N_erthali	1	0.481
2018-03-19|PAL|2|trail|worker|r1	parasitism	A_attophilus	4	2.74
2018-03-19|PAL|2|trail|worker|r1	parasitism	N_erthali	2	1.37
2018-03-19|PAL|3|trail|worker|r1	parasitism	A_attophilus	35	20.958
2018-03-19|PAL|3|trail|worker|r1	parasitism	N_erthali	3	1.796
