id	node_type	date	site	colony	local	caste	n_ants	n_parasitized	prevalence
2018-02-27|PAL|1|trail|soldier|r1	sample	2018-02-27	PAL	1	trail	soldier	46	0	0
2018-02-27|PAL|1|trail|worker|r1	sample	2018-02-27	PAL	1	trail	worker	435	12	2.759
2018-02-27|PAL|1|mound|soldier|r1	sample	2018-02-27	PAL	1	mound	soldier	28	0	0
2018-02-27|PAL|1|mound|worker|r1	sample	2018-02-27	PAL	1	mound	worker	71	0	0
2018-02-27|PAL|2|trail|soldier|r1	sample	2018-02-27	PAL	2	trail	soldier	29	0	0
2018-02-27|PAL|2|trail|worker|r1	sample	2018-02-27	PAL	2	trail	worker	173	32	18.497
2018-02-27|PAL|2|mound|soldier|r1	sample	2018-02-27	PAL	2	mound	soldier	18	0	0
2018-02-27|PAL|2|mound|worker|r1	sample	2018-02-27	PAL	2	mound	worker	301	1	0.332
2018-02-27|PAL|3|trail|soldier|r1	sample	2018-02-27	PAL	3	trail	soldier	48	0	0
2018-02-27|PAL|3|trail|worker|r1	sample	2018-02-27	PAL	3	trail	worker	172	27	15.698
2018-02-27|PAL|3|mound|soldier|r1	sample	2018-02-27	PAL	3	mound	soldier	41	0	0
2018-02-27|PAL|3|mound|worker|r1	sample	2018-02-27	PAL	3	mound	worker	84	1	1.19
2018-02-27|PAL|4|trail|soldier|r1	sample	2018-02-27	PAL	4	trail	soldier	67	0	0
2018-02-27|PAL|4|trail|worker|r1	sample	2018-02-27	PAL	4	trail	worker	194	1	0.515
2018-02-27|PAL|4|mound|soldier|r1	sample	2018-02-27	PAL	4	mound	soldier	39	0	0
2018-02-27|PAL|4|mound|worker|r1	sample	2018-02-27	PAL	4	mound	worker	127	1	0.787
2018-03-07|PAL|1|trail|soldier|r1	sample	2018-03-07	PAL	1	trail	soldier	27	0	0
2018-03-07|PAL|1|trail|worker|r1	sample	2018-03-07	PAL	1	trail	worker	135	9	6.667
2018-03-07|PAL|1|mound|soldier|r1	sample	2018-03-07	PAL	1	mound	soldier	28	0	0
2018-03-07|PAL|1|mound|worker|r1	sample	2018-03-07	PAL	1	mound	worker	118	0	0
2018-03-07|PAL|2|trail|soldier|r1	sample	2018-03-07	PAL	2	trail	soldier	58	0	0
2018-03-07|PAL|2|trail|worker|r1	sample	2018-03-07	PAL	2	trail	worker	140	11	7.857
2018-03-07|PAL|2|mound|soldier|r1	sample	2018-03-07	PAL	2	mound	soldier	37	0	0
2018-03-07|PAL|2|mound|worker|r1	sample	2018-03-07	PAL	2	mound	worker	261	2	0.766
2018-03-07|PAL|3|trail|soldier|r1	sample	2018-03-07	PAL	3	trail	soldier	30	0	0
