Date	Site	Colony	Local	Caste	No_ants	No_parasitized_ants	A_attophilus	A_vicosae	 N_erthali	M_grandicornis
27-fev.-18	PAL	1	trail	soldier	46	0	0	0	0	0
27-fev.-18	PAL	1	trail	worker	435	12	7	0	4	1
27-fev.-18	PAL	1	mound	soldier	28	0	0	0	0	0
27-fev.-18	PAL	1	mound	worker	71	0	0	0	0	0
27-fev.-18	PAL	2	trail	soldier	29	0	0	0	0	0
27-fev.-18	PAL	2	trail	worker	173	32	24	0	8	0
27-fev.-18	PAL	2	mound	soldier	18	0	0	0	0	0
27-fev.-18	PAL	2	mound	worker	301	1	0	0	1	0
27-fev.-18	PAL	3	trail	soldier	48	0	0	0	0	0
27-fev.-18	PAL	3	trail	worker	172	27	17	0	10	0
27-fev.-18	PAL	3	mound	soldier	41	0	0	0	0	0
27-fev.-18	PAL	3	mound	worker	84	1	0	0	0	1
27-fev.-18	PAL	4	trail	soldier	67	0	0	0	0	0
27-fev.-18	PAL	4	trail	worker	194	1	1	0	0	0
27-fev.-18	PAL	4	mound	soldier	39	0	0	0	0	0
27-fev.-18	PAL	4	mound	worker	127	1	0	0	1	0
7-mar.-18	PAL	1	trail	soldier	27	0	0	0	0	0
7-mar.-18	PAL	1	trail	worker	135	9	6	0	3	0
7-mar.-18	PAL	1	mound	soldier	28	0	0	0	0	0
7-mar.-18	PAL	1	mound	worker	118	0	0	0	0	0
7-mar.-18	PAL	2	trail	soldier	58	0	0	0	0	0
7-mar.-18	PAL	2	trail	worker	140	11	3	1	7	0
7-mar.-18	PAL	2	mound	soldier	37	0	0	0	0	0
7-mar.-18	PAL	2	mound	worker	261	2	0	0	2	0
7-mar.-18	PAL	3	trail	soldier	30	0	0	0	0	0
7-mar.-18	PAL	3	trail	worker	244	27	27	0	0	0
7-mar.-18	PAL	3	mound	soldier	24	0	0	0	0	0
7-mar.-18	PAL	3	mound	worker	337	1	0	0	1	0
7-mar.-18	PAL	4	trail	soldier	58	0	0	0	0	0
7-mar.-18	PAL	4	trail	worker	49	8	5	0	3	0
7-mar.-18	PAL	4	mound	soldier	56	0	0	0	0	0
7-mar.-18	PAL	4	mound	worker	126	0	0	0	0	0
19-mar.-18	PAL	1	trail	soldier	91	0	0	0	0	0
19-mar.-18	PAL	1	trail	worker	208	1	0	0	1	0
19-mar.-18	PAL	1	mound	soldier	39	0	0	0	0	0
19-mar.-18	PAL	1	mound	worker	138	0	0	0	0	0
19-mar.-18	PAL	2	trail	soldier	68	0	0	0	0	0
19-mar.-18	PAL	2	trail	worker	146	6	4	0	2	0
19-mar.-18	PAL	2	mound	soldier	32	0	0	0	0	0
19-mar.-18	PAL	2	mound	worker	72	0	0	0	0	0
19-mar.-18	PAL	3	trail	soldier	45	0	0	0	0	0
19-mar.-18	PAL	3	trail	worker	167	39	35	0	3	1
19-mar.-18	PAL	3	mound	soldier	95	0	0	0	0	0
19-mar.-18	PAL	3	mound	worker	212	0	0	0	0	0
19-mar.-18	PAL	4	trail	soldier	65	0	0	0	0	0
19-mar.-18	PAL	4	trail	worker	127	3	0	0	3	0
19-mar.-18	PAL	4	mound	soldier	44	0	0	0	0	0
19-mar.-18	PAL	4	mound	worker	105	3	0	0	3	0
2-abr.-18	PAL	1	trail	soldier	68	0	0	0	0	0
2-abr.-18	PAL	1	trail	worker	203	11	10	0	1	0
2-abr.-18	PAL	1	mound	soldier	51	0	0	0	0	0
2-abr.-18	PAL	1	mound	worker	34	0	0	0	0	0
2-abr.-18	PAL	2	trail	soldier	51	0	0	0	0	0
2-abr.-18	PAL	2	trail	worker	102	2	0	0	2	0
2-abr.-18	PAL	2	mound	soldier	71	0	0	0	0	0
2-abr.-18	PAL	2	mound	worker	26	0	0	0	0	0
2-abr.-18	PAL	3	trail	soldier	87	0	0	0	0	0
2-abr.-18	PAL	3	trail	worker	384	24	19	0	5	0
